bid#2872773|To Kill a Mockingbird|2023-8-17|2023-8-31|320|2023-9-5
bid#2872773|To Kill a Mockingbird|2023-8-17|2023-8-31|0|2023-9-5
bid#2872773|1984|2023-8-17|2023-8-31|320|2023-9-5
bid#2872773|1984|2023-8-17|2023-8-31|0|2023-9-5
bid#2872773|To Kill a Mockingbird|0-7469296-0|0-7469296-14|0|2023-9-5
bid#2872773|Hello World|2023-8-20|2023-9-3|440|2023-9-5
bid#2872773|Hello World|2023-8-20|2023-9-3|0|2023-9-5
bid#2872773|Hello World|2023-8-20|2023-9-3|440|2023-9-5
bid#2872773|Hello World|2023-8-20|2023-9-3|0|2023-9-5
bid#2872773|Hello World|2023-8-7|2023-8-21|0|2023-9-5
bid#2872773|Hello World|2023-8-20|2023-9-3|440|2023-9-5
bid#2872773|Hello World|2023-8-20|2023-9-3|0|2023-9-5
bid#2872773|Hello World|2023-8-21|2023-9-4|480|2023-9-5
bid#2872773|Hello World|2023-8-21|2023-9-4|0|2023-9-5
bid#2872773|Tree|2023-8-22|2023-9-5|0|2023-9-5
